Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Sólás na Mara,https://www.solasnamara.ie/,3535846052,-7.5394444,52.0527777999999,Waterford,Dungarvan,Republic of Ireland,"Food and Drink,Cafe"
Bella & Brava Restaurant,https://bellabravarestaurant.com/,353719306727,-8.6056089,54.1710165999999,Sligo,Coolaney,Ireland,"Food and Drink,Restaurant,Local Produce"
The Adventure Islands,https://www.theadventureisland.com/,353862518252,-9.6308032,53.8278441,Mayo,Westport,Ireland,"Kayaking,Activity Operator,Walking,Day Tour,Tour,Boat"
An File,https://anfile.ie/,3539844949,-9.52450479999999,53.7995345999999,Mayo,Westport,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Trad on the Prom,https://www.tradontheprom.com/,35391582860,-9.08232349999999,53.2590363,Galway,,Ireland,"Traditionally Irish,Venue,Music"
Bansha Wood,https://www.coillte.ie/site/bansha/,+353(0)527441453,-8.06434793204121,52.4482985172907,Tipperary,Bansha,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glenshelane Forest Trails,http://www.coillte.ie,,-7.82643444323215,52.1488101303743,Waterford,Cappoquin,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Kilclooney Wood,http://www.coillte.ie,,-7.42648426141386,52.2034472156374,Waterford,Kilmacthomas,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glengarra Wood,https://www.coillte.ie/site/glengarra/,,-8.0935698172442,52.3248530745509,Tipperary,Burncourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
The East Munster Way,https://www.sportireland.ie/outdoors/walking/trails/east-munster-way,353761065000,-7.40470492454733,52.3471054682275,Tipperary,,Ireland,Walking
The Beara Way,https://bearatourism.com/beara-way,+353(0)2770054,-9.94549254000484,51.7017251046066,Cork,Beara Peninsula,Republic of Ireland,Walking
The Blackwater Way,https://www.activeme.ie/guides/blackwater-way-duhallow-way-and-avondhu-way-entire-route/,35318608800,-8.474305,51.896447,Cork,,Republic of Ireland,Walking
The Dingle Way,https://thedingleway.ie/,,-10.1242982,52.2040594,Kerry,Dingle Peninsula,Ireland,Walking
Beara Way Cycling Route,,+353(0)2821489,-9.94999204762586,51.6956643207193,Cork,Beara Peninsula,Republic of Ireland,Cycling
The Ring of Kerry Cycle Route,,+353(0)646631633,-9.75043931715399,52.1670833699325,Kerry,,Republic of Ireland,Cycling
Sheep’s Head Cycle Route,http://www.thesheepsheadway.ie/index.cfm/page/cyclingroute,+353(0)2767136,-9.70330154820503,51.5814110375101,Cork,Bantry,Republic of Ireland,Cycling
The Burren Way,https://www.sportireland.ie/outdoors/walking/trails/burren-way,,-9.00792473343926,53.0229241422199,Clare,Burren National Park,Ireland,Walking
Knocknarea Mountain,,+353(0)719161201,-8.5740405,54.2586042999999,Sligo,Strandhill,Ireland,Walking
Slish Wood,http://www.irishtrails.ie/trails.aspx?c=Sligo&t=-1&l=-1&g=All&f=All,353719161201,-8.47705702139608,54.2687565564578,Sligo,Sligo Town,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Spink Loop,http://www.npws.ie,+353(0)40469117,-6.32762650277776,53.0093653115907,Wicklow,Wicklow Town,Republic of Ireland,Walking
Fenit Cycleway,,+353(0)667121288,-9.8595306147581,52.2797083924763,Kerry,Fenit,Republic of Ireland,Cycling
The Kerry Head Cycleway,,+353(0)667121288,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,Cycling
Croagh Patrick Heritage Trail,http://www.croaghpatrickheritagetrail.com,+353(0)949360891,-9.13312536081957,53.8089369717232,Mayo,Clogher,Republic of Ireland,Walking
South Leinster Way Kildavin To Borris,http://www.irishtrails.ie/Trail/South-Leinster-Way/33/,,-6.68434856008662,52.6849611962087,Carlow,Kildavin,Republic of Ireland,Walking
Clogher Bog Loop,http://www.clogherheritage.com/,+353(0)949360891,-9.46834728487988,53.8383805362603,Mayo,Clogher,Republic of Ireland,"Walking,Public Park,Nature and Wildlife"
Glencolmcille Loop,https://www.govisitdonegal.com/things-to-do/activities/glencolmcille-tower-loop,,-8.71477570036982,54.6997030560807,Donegal,Glencolmcille,Republic of Ireland,"Walking,Activity Operator"
Lettermaghera Loop,http://www.mayo-ireland.com,+353(0)9825711,-9.58770527973092,53.9049903259369,Mayo,Newport,Republic of Ireland,Walking
Cosán na Naomh (The Saint's Road),http://www.irishtrails.ie/Trail/Cosan-na-Naomh--Saints-Road-/370/,,-10.1670098277412,52.1837423739747,Kerry,Dingle Peninsula,Republic of Ireland,Walking
Derrynane Coastal Circuit,,+353(0)646631633,-10.1503778742434,51.7671496543273,Kerry,Derrynane,Republic of Ireland,Walking
Great Blasket Island Looped Walk,,+353(0)669151188,-10.5143759445302,52.1070838806635,Kerry,,Republic of Ireland,Walking
Listowel 'Sive'  Walk,http://www.irishtrails.ie/Trail/Listowel-Village-Walks---Sive-Walk/601/,+353(0)667121288,-9.48392527411675,52.4471201192782,Kerry,Listowel,Republic of Ireland,Walking
Cahersiveen - Beentee Loop,http://www.irishtrails.ie/Trail/Cahersiveen---Beentee-loop/114/,,-10.2234554774269,51.9476611011772,Kerry,Cahersiveen,Republic of Ireland,Walking
Creha Quay Loop,http://www.irishtrails.ie/Trail/Eyeries---Creha-Quay-loop/88/,+353(0)2770054,-9.95059641299327,51.6979552992754,Cork,Eyeries,Republic of Ireland,Walking
Dursey Island Loop,http://www.irishtrails.ie/Trail/Dursey-Island-loop/87/,+353(0)2770054,-10.1906187970772,51.6005500483021,Cork,Dursey Island,Republic of Ireland,Walking
Killavullen Loop,http://www.irishtrails.ie/Trail/Killavullen-loop/90/,,-8.51787337526953,52.1483315498122,Cork,Killavullen,Republic of Ireland,Walking
O'Briensbridge - Errinagh Bridge Loop,https://www.sportireland.ie/outdoors/walking/trails/obriensbridge-errinagh-bridge,,-8.50442497605503,52.7520965154733,Clare,,Republic of Ireland,Walking
O'Briensbridge - Old Barge Loop,https://www.sportireland.ie/outdoors/walking/trails/obriensbridge-old-barge-loop,,-8.50442497605503,52.7520965154733,Clare,,Republic of Ireland,Walking
Eamonn an Chnoic Loop,https://www.sportireland.ie/outdoors/walking/trails/upperchurch-eamon-a-chnoic-loop,+353(0)876076838,-8.01824596323405,52.7036692746239,Tipperary,Upperchurch,Republic of Ireland,Walking
Dromore Wood Loop,https://www.sportireland.ie/outdoors/walking/trails/ruan-dromore-wood-loop,,-8.98828538212649,52.8467369115993,Clare,Ennis,Republic of Ireland,Walking
Lough Boora Mesolithic Loop Walk,https://www.loughboora.com,353879904234,-7.72680199999999,53.220112,Offaly,Tullamore,Ireland,"Walking,Activity Operator"
Kinnitty Castle Loop,http://www.slievebloom.ie,,-7.697808,53.102557,Offaly,Kinnitty,Republic of Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Cadamstown Paul's Lane Loop,https://slievebloom.ie/walk/pauls-lane-loop,,-7.65915297371912,53.1255461113344,Offaly,Cadamstown,Republic of Ireland,Walking
Inishowen Head Loop,http://www.govisitinishowen.com,+353(0)749363451,-7.31017299050521,55.1915199156836,Donegal,Buncrana,Republic of Ireland,"Walking,Activity Operator"
Inis Eoghain Cycleway,http://www.visitinishowen.com,+353(0)9362600,-7.0426825728339,55.1879835413439,Donegal,Moville,Republic of Ireland,Cycling
Buncrana Coastal Walk,http://www.visitinishowen.com,+353(0)743962602,-7.45363370227447,55.1327920382759,Donegal,Buncrana,Republic of Ireland,"Walking,Activity Operator"
The Rougey Walk,,,-8.277934,54.4791416,Donegal,Bundoran,Ireland,Walking
The West End Cliff Walk,,+353(0)749121160,-8.27454055447874,54.4796245305347,Donegal,Bundoran,Republic of Ireland,Walking
Bloody Foreland Walk,http://www.govisitdonegal.com/do/walking-hiking/bloody-foreland-walk/,+353(0)749121160,-8.1659,55.0926,Donegal,The Rosses,Republic of Ireland,Walking
Lough Derg Walk,,+353(0)749121160,-7.82668093813879,54.54826204258,Donegal,Pettigo,Republic of Ireland,Walking
Bianconi Loop,https://www.sportireland.ie/outdoors/walking/trails/glen-of-aherlow-bianconi-loop,+353(0)6256331,-8.16862652421491,52.4304939570149,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Ballinacourty Loop,https://www.sportireland.ie/outdoors/walking/trails/glen-of-aherlow-ballinacourty-loop,+353(0)6256331,-8.16781727844727,52.4303067982048,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Rock an Thorabh Loop,https://www.sportireland.ie/outdoors/walking/trails/glen-of-aherlow-rock-an-thorabh-loop,+353(0)6256331,-8.16843210699073,52.4307398939202,Tipperary,,Ireland,Walking
Knockbarron Loop,,,-7.72219702318858,53.0958285249507,Offaly,,Ireland,Walking
Carroll's Loop,https://www.sportireland.ie/outdoors/walking/trails/lisvarrinane-carrolls-loop,+353(0)6256331,-8.22569586859231,52.4129419932791,Tipperary,Glen Of Aherlow,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Pádraig's Loop,http://www.aherlow.com/wp-content/uploads/2016/08/Glen-Loops-A5_Padraighs2_webfnl.pdf,+353(0)6256331,-8.22566090202281,52.413335208246,Tipperary,Glen Of Aherlow,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Dolmen Loop,https://www.sportireland.ie/outdoors/walking/trails/lisvarrinane-dolmen-loop,+353(0)6256331,-8.22518515665001,52.4131846625532,Tipperary,Glen Of Aherlow,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Lakes Loop,,,-6.96817532714612,54.2495326628955,Monaghan,,Ireland,Walking
Carran Looped Walk,https://www.sportireland.ie/outdoors/walking/trails/carron-loop,,-9.10631376880996,53.0520543105708,Clare,Carran,Ireland,Walking
Inishbofin Westquarter Loop Walk,,+353(0)9545989,-10.2092997295851,53.6209898641746,Galway,Inishbofin,Republic of Ireland,Walking
Keenagh Loop,http://www.irishtrails.ie/Trail/Keenagh-loop/150/,,-9.42330608682937,54.0015267619967,Mayo,Crossmolina,Republic of Ireland,Walking
Derroura Mountain Bike Trail,https://www.sportireland.ie/outdoors/cycling-off-road/trails/derroura-mountain-bike-trail,,-9.450517,53.4408569999999,Galway,,Ireland,Cycling
North West Trail Cycling Trail,,,-8.48080712641232,54.2713073010575,Sligo,,Ireland,Cycling
Glenpatrick Bridge Loop,https://www.sportireland.ie/outdoors/walking/trails/glenpatrick-glenpatrick-bridge-loop,,-7.49830618485151,52.3070713142912,Waterford,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Grange Loop,https://www.sportireland.ie/outdoors/walking/trails/grange-grange-loop,,-7.5431415,52.6597746999999,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Knockanroe Wood Loop,http://www.irishtrails.ie/Trail/Knockanroe-Woods---Silvermines-Knockanroe-loop-/672/,,-8.22917620328179,52.7948666201112,Tipperary,Silvermines,Ireland,Walking
Enniscoe House Loop,https://www.irishtrails.ie/Trail/Enniscoe-House-loop/146/,,-9.309504,54.07019,Mayo,Crossmolina,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Tory Island Loop,,,-8.20711937587958,55.2620152359501,Donegal,,Ireland,Walking
Birchill Loop,https://www.sportireland.ie/outdoors/walking/trails/birchhill-loop,+353(0)876076838,-8.01824596323405,52.7036692746239,Tipperary,Upperchurch,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Loch Dhoire Bhile Loop,,,-7.67656348010609,52.6259783978695,Tipperary,New Birmingham,Ireland,Walking
Oakpark Loop,http://www.irishtrails.ie/Trail/Oak-Park-loop/67/,,-6.92619625698649,52.8350244997082,Carlow,,Ireland,"Bird Watching,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk"
Castle Lake Loop,https://www.sportireland.ie/outdoors/walking/trails/bailieborough-castle-lake-loop-pjs-way,,-6.98089735240205,53.9395922362654,Cavan,Bailieborough,Ireland,Walking
Knockalough Loop,https://www.sportireland.ie/outdoors/walking/trails/knockalough-knockalough-loop,+353(0)876076838,-8.01824596323405,52.7036692746239,Tipperary,Upperchurch,Ireland,"Walking,Forest Park,Park and Forest Walk"
Glenbawn Loop,,,-7.79193451036337,52.3423178357575,Tipperary,,Ireland,Walking
Fox Covert Loop,,,-7.79193451036337,52.3423178357575,Tipperary,,Ireland,Walking
Dun Ui Faolain Loop,,,-7.79150535692099,52.3424227108617,Tipperary,Clonmel,Ireland,Walking
Mount Gable Walk,,+353(0)949548031,-9.36308848622632,53.5439416227255,Galway,,Republic of Ireland,Walking
Doolin Cycle Hub,https://www.sportireland.ie/outdoors/cycling-on-road/trails?county=43&grade=418&length=All#list,,-9.37635810280161,53.0168187196426,Clare,,Ireland,Cycling
Clifden Cycle Hub,,+353(0)9521163,-10.01935,53.488951,Galway,Clifden,Republic of Ireland,Cycling
Mullingar Cycle Hub,,,-7.3373369827831,53.5253235421963,Westmeath,,Ireland,Cycling
Wexford Cycle Routes,http://www.irishtrails.ie,+353(0)539123111,-6.46425412430914,52.3414497581374,Wexford,Wexford Town,Republic of Ireland,Cycling
Ballyshannon Cycle Hub,,,-8.16074568267393,54.5011369852517,Donegal,Ballyshannon,Republic of Ireland,Cycling
Ardnamona Woods,http://www.irishtrails.ie/Trail/Ard-na-Mona-Wood/527/,,-8.11054770672886,54.6534050195463,Donegal,,Republic of Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Inishbofin Middlequarter Loop Walk,,+353(0)9545989,-10.2147928936476,53.6197680487417,Galway,Inishbofin,Ireland,Walking
Inishbofin Cloonamore Loop Walk,,+353(0)9545989,-10.2147928936476,53.6201753244823,Galway,Inishbofin,Ireland,Walking
Bothy Loop - Newport,http://www.irishtrails.ie/Trail/Bothy-Loop/490/,,-9.56910518529616,53.9741782559549,Mayo,Newport,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Lough Aroher Loop,,,-9.58798793676101,53.9683220134416,Mayo,Newport,Republic of Ireland,Walking
Letterkeen Loop,http://www.irishtrails.ie/Trail/Letterkeen-loop/492/,,-9.59210780980788,53.9623639568017,Mayo,Newport,Republic of Ireland,Walking
Black Head Looped Walk,,,-9.28251865275536,53.1134074848904,Clare,Fanore,Republic of Ireland,Walking
Bullig Bay Loop,http://www.irishtrails.ie/Trail/Bullig-Bay-Loop/463/,+353(0)2770054,-9.90977740824812,51.6558413649744,Cork,Castletownbere,Republic of Ireland,Walking
Garinish Loop,http://www.irishtrails.ie/Trail/Garinish-Loop--Beara-/464/,+353(0)2770054,-9.90977740824812,51.6558413649744,Cork,Castletownbere,Republic of Ireland,Walking
Darby's Bed Loop,https://www.sportireland.ie/outdoors/walking/trails/darbys-bed-loop,,-8.29346769352105,52.4006615249485,Limerick,Galbally,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Windfarm Loop,http://www.irishtrails.ie/Trail/Windfarm-Loop/411/,,-6.7755436610951,52.6886164569125,Carlow,,Republic of Ireland,Walking
Kilbrannish Loop,http://www.irishtrails.ie/Trail/Kilbrannish-Loop/410/,,-6.7755436610951,52.6886164569125,Carlow,,Republic of Ireland,Walking
Tourmakeady Loop,http://www.irishtrails.ie/Trail/Tourmakeady-loop/497/,,-9.37973887646056,53.656867033,Mayo,Tourmakeady,Republic of Ireland,Walking
Doonbeg Loop,https://www.sportireland.ie/outdoors/walking/trails/doonbeg-loop,,-9.52590755326963,52.7318461362844,Clare,,Ireland,Walking
Tullaher Loop,,,-9.52590755326963,52.7318461362844,Clare,Doonbeg,Republic of Ireland,Walking
Glanlough Loop,http://www.irishtrails.ie/Trail/Glanlough-Loop---Sheep-s-Head/467/,,-9.63155510280619,51.6020594464616,Cork,West Cork,Republic of Ireland,Walking
Colligan Wood - Inchidrisla Loop,,,-7.68797270320169,52.1250799942822,Waterford,Dungarvan,Republic of Ireland,Walking
Colligan Wood - Greenane Loop,,,-7.68780104182485,52.1210223045495,Waterford,Dungarvan,Republic of Ireland,Walking
Broadford Ashford Walking Trails - Gleann Beag Loop,http://walkbroadfordashford.com/trail/an-gleann-beag-loop/,,-8.98184313049319,52.3455016300578,Limerick,,Republic of Ireland,Walking
Askamore Loop,,,-6.47981591932375,52.6722892104065,Wexford,Gorey,Republic of Ireland,Walking
Ballybeg Loop,,,-6.48000903837282,52.6721981308321,Wexford,Gorey,Republic of Ireland,Walking
Slieveboy Loop,,,-6.48333497755129,52.6685938295458,Wexford,Gorey,Republic of Ireland,Walking
Devil's Bit Loop,https://tipperary.com/listings/devils-bit-loop/,,-7.888697,52.780599,Tipperary,Templemore,Republic of Ireland,Walking
Kilcommon Pilgrim Loop,https://www.sportireland.ie/outdoors/walking/trails/kilcommon-pilgrim-loop,,-7.81152126609562,52.6779688964599,Tipperary,Kilcommon,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Hymany Way,http://www.irishtrails.ie/Trail/Hymany-Way/382/,,-8.21877079160503,53.0927485249746,Galway,Aughrim,Republic of Ireland,Walking
The New Village - Lough Seecon Trail,https://www.sportireland.ie/outdoors/walking/trails/new-village-lough-seecon-trail,,-9.3401941,53.4392578999999,Galway,,Ireland,Walking
Lismore Area Walks,,+353(0)5854975,-7.932546,52.137045,Waterford,Lismore,Republic of Ireland,Walking
Drumsheen Looped Walk,,,-9.15518109882918,54.1146326750094,Mayo,Ballina,Republic of Ireland,Walking
Glen Looped Walk,,,-9.03035004228285,54.110117041669,Mayo,Bonniconlon,Republic of Ireland,Walking
Larganmore Loop,,,-9.11304925232873,53.9819832487202,Mayo,Foxford,Republic of Ireland,Walking
Lúb Ceathrú an Phoillín - Inis Oírr,https://www.sportireland.ie/outdoors/walking/trails/inis-oirr-lub-ceathru-an-phoillin,,-9.53047803122614,53.0592266375793,Galway,,Republic of Ireland,Walking
Cong Nature Trail Loop,,,-9.27568738545033,53.5436397167368,Mayo,Cong,Republic of Ireland,Walking
Glen of Aherlow Nature Park,http://www.aherlow.com,+353(0)6256331,-8.16764561707032,52.4306207962975,Tipperary,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Cadamstown Silver River EcoWalk Loop,"http://www.shannonregiontrails.ie/FindaTrail/Walking/EcoWalks/TrailName,5963,en.html",,-7.66071938378377,53.1269881955907,Offaly,Cadamstown,Ireland,Walking
Ballyvaughan - Black Head Loop,https://www.burrengeopark.ie/discover-explore/trails/walking-maps-routes/,,-9.2895205,53.1189982,Clare,,Ireland,Walking
Caher Valley Looped Walk,https://www.sportireland.ie/outdoors/walking/trails/caher-valley-loop,353656828366,-9.29144504435692,53.1103162686756,Clare,Ennis,Ireland,Walking
Bolus Head  Barracks Looped Walk,,,-10.3370217943139,51.7985013698147,Kerry,Ballinskelligs,Ireland,Walking
Collin’s Bog Looped Walk,,,-7.34773624281035,52.9135465953122,Laois,,Ireland,Walking
Ard na Gaoithe - Ardnageeha Loop Walk,http://www.irishtrails.ie/Trail/Ard-na-Gaoithe---Ardnageeha-loop/223/,,-9.28800408924667,53.5403754959373,Mayo,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Clonbur Wood Loop Walk,http://www.irishtrails.ie/Trail/Clonbur-Wood-loop-trail/224/,,-9.36514842274982,53.5460326169881,Galway,Clonbur,Ireland,Walking
Monivea Historical Trail Loop Walk,http://www.irishtrails.ie/Trail/Monivea---Historical-trail/228/,,-8.69636308118379,53.3747589250999,Galway,Monivea,Ireland,Walking
Boolas Loop,,,-7.49573126419727,52.3064940370722,Waterford,Rathgormack,Ireland,Walking
North Engine Looped Walk,http://www.irishtrails.ie/Trail/Allihies---North-Engine-loop/629/,+353(0)2770054,-10.0506253176757,51.6491640761642,Cork,Allihies,Ireland,Walking
Birr Cycle Hub,,,-7.91027118315556,53.0957642373653,Offaly,,Ireland,Cycling
O'Briensbridge - Parteen Weir Loop,,,-8.50163547867953,52.7527978388746,Clare,,Ireland,Walking
Keeper Hill Trek,https://www.coillte.ie/site/doonaneballyhourigan/,,-8.29333003442661,52.7298471139969,Tipperary,Newport,Ireland,Walking
Knockbarron Wood Eco Walk,,,-7.73275419787114,53.1180363062819,Offaly,Kinnitty,Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Cadamstown Silver River Nature Loop Walk,http://www.slievebloom.ie,,-7.66024731499715,53.1275740284981,Offaly,Cadamstown,Ireland,"Walking,Activity Operator"
Lissycasey Cascades Loop,,,-9.15917824844803,52.7442564403686,Clare,Lissycasey,Ireland,Walking
Glenafelly Eco Walk,http://www.coillteoutdoors.ie,,-7.67998028300633,53.0684475210659,Offaly,,Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Glin Heritage Trails - Knight's Walk,http://www.irishtrails.ie,,-9.28570764449933,52.5702100309281,Limerick,,Ireland,Walking
Mervue Slí,http://www.irishheart.ie/sli,,-9.05507663666992,53.271599515534,Galway,Galway City,Ireland,Walking
Milltown Slí,http://www.irishheart.ie/sli,,-8.89895061433105,53.6139673755756,Galway,Milltown,Ireland,Walking
Moneygall Kearney Loops,,,-7.95626999943224,52.87985103712,Offaly,,Ireland,Cycling
Curragh Chase Forest Park Loop Walks,http://www.coillteoutdoors.ie/index.php?id=171&rec_site=109&activity=&no_cache=1,,-8.87469748870319,52.6102830224228,Limerick,Kilcornan,Ireland,"Bird Watching,Nature and Wildlife,Cycling,Walking,Forest Park,Park and Forest Walk"
Curragh Chase - Glenisca Family Cycling Trail,,,-8.74715308562702,52.6040803926419,Limerick,Kilcornan,Ireland,Cycling
Curragh Chase - Curragh Trail,,,-8.74715308562702,52.6040803926419,Limerick,Kilcornan,Ireland,Cycling
Carran Turlough Loop,https://www.sportireland.ie/outdoors/walking/trails/carran-turlough-loop,,-9.07809691789669,53.0372166715076,Clare,Carran,Ireland,Walking
Monivea - Mass Track trail,http://www.irishtrails.ie/Trail/Monivea---Mass-Track-trail/227/,,-8.702721,53.374262,Galway,Monivea,Ireland,Walking
New Village - New Village Walk,https://www.sportireland.ie/outdoors/walking/trails/new-village-new-village-walk,,-9.32461718024626,53.4278726929595,Galway,Oughterard,Ireland,Walking
Portumna Forest Park - Bonaveen Walking Trail,http://www.irishtrails.ie/Trail/Portumna-Forest-Park---Bonaveen-Walking-Trail/2311/,,-8.25561945742185,53.0921625780092,Galway,Portumna,Ireland,Walking
Portumna Forest Park - Forest Friendly Walking Trail,http://www.irishtrails.ie/Trail/Portumna-Forest-Park---Forest-Friendly-Walking-Trail/2321/,,-8.2484955102783,53.083038345911,Galway,Portumna,Ireland,Walking
